From Date,PM10,NO,NO2,WS,CO,Benzene,NOx,Ozone,SO2,NH3,Toluene,PM2.5
13-03-2019 08:00,308.62,70.18,85.78,0.55,3.43,4.52,102.98,18.6,29.72,24.86,25.33,114.28
13-03-2019 16:00,376.22,131.68,93.68,0.38,3.38,6.85,157.19,18.55,26.77,29.83,54.74,140.69
14-03-2019 00:00,458.16,159.03,63.03,0.3,3.5,8.77,163.19,5.66,20.28,42.72,32.77,261.84
14-03-2019 08:00,271.44,65.48,58.74,2.08,5.06,4.16,84.68,15.1,34.37,35.62,22.14,113.44
14-03-2019 16:00,133.34,68.67,65.09,0.97,0.3,3.86,90.6,11.01,12.46,31.57,27.26,58.53
15-03-2019 00:00,198.03,140.88,64.89,0.44,0.88,4.39,149.36,17.06,15.67,28.46,35.87,105.91
15-03-2019 08:00,165.19,73.86,77.47,1.32,1.07,2.64,101.43,18.37,29.6,29.27,22.12,69.81
15-03-2019 16:00,160.06,105.09,72.31,1.21,1.01,3.72,124.17,12.6,12.03,29.21,34.45,49.06
16-03-2019 00:00,155.5,77.09,54.59,0.95,2.04,2.71,91.96,15.46,9.61,29.59,21.84,67.75
16-03-2019 08:00,183.31,78.68,84.31,1.51,1.75,2.17,108.94,26.25,15.9,24.71,20.61,60.06
16-03-2019 16:00,208.88,120.35,94.22,0.61,1.83,3.65,148.22,13.04,14.46,25.68,28.87,82.59
17-03-2019 00:00,297.66,177.98,91.52,0.31,2.98,4.95,193.76,4.35,13.51,34.37,32.17,126.72
17-03-2019 08:00,215.12,72.23,90.24,1.16,3.4,2.58,106.89,29.27,19.64,32.37,22.17,91.91
17-03-2019 16:00,199.09,102.17,91.81,0.76,5.36,3.19,132.1,16.74,14,28.14,28.22,69.97
18-03-2019 00:00,288.5,194.26,99.19,0.33,2.72,4,211.09,5.48,13.5,35.14,33.85,135.25
18-03-2019 08:00,240.44,97.79,111.11,1.02,2.3,2.88,138.93,28.23,25.31,35.49,21.42,101.25
18-03-2019 16:00,275.25,153.42,104.77,0.71,3.04,4.32,180.78,15.76,15.92,31.97,31.78,100.75
19-03-2019 00:00,258.03,159.89,88.12,0.36,1.62,4.22,180.6,6.19,13.26,38.73,32.27,116.56
19-03-2019 08:00,304.72,103.28,125.35,0.98,1.98,3.94,150.83,19.72,24.29,40.23,24.77,179.38
